month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2019-04,78.03200107604498,14.00462444871664,-2.4074839893728495,13.348393142223358,0.257999986410141,9.541355534306064,nan,nan,nan,63.21666666666666,nan,9.541355534306064,9.541355534306064,observed,observed,,
2019-05,76.84049167333515,10.348613373935223,-1.4109096955507994,10.692641139030457,0.5400000214576721,9.590903387383367,nan,nan,nan,64.26333333333334,nan,9.590903387383367,9.590903387383367,observed,observed,,
2019-06,77.5059787822674,6.960730999708176,-1.6009147511795163,7.114950567483902,0.6050000190734863,19.418748718217042,nan,nan,nan,64.33,nan,19.418748718217042,19.418748718217042,observed,observed,,
2019-07,81.8714013805312,3.169198287650943,-0.9770860197022557,3.9411201141774654,0.597000002861023,27.499884188392784,nan,nan,nan,65.09333333333335,nan,27.499884188392784,27.499884188392784,observed,observed,,
2019-08,85.05198474506469,1.4253403060138226,-1.258684555068612,1.913742977194488,0.4359999895095825,26.151520438916563,nan,nan,nan,66.36333333333333,nan,26.151520438916563,26.151520438916563,observed,observed,,
2019-09,90.19384552327122,3.6599324084818363,-2.6172033976763487,2.7883832808583975,0.8920000195503235,28.769672456494902,nan,nan,nan,66.24000000000001,nan,28.769672456494902,28.769672456494902,observed,observed,,
2019-10,92.49398385225489,2.855925355106592,-1.5576118603348732,3.0445142183452845,0.9639999866485596,23.244561908407398,nan,nan,nan,64.78,nan,23.244561908407398,23.244561908407398,observed,observed,,
2019-11,92.02620247732155,5.2341497503221035,-1.538897748105228,5.447122734040022,0.8349999785423279,15.834061691203033,nan,nan,nan,65.07333333333334,nan,15.834061691203033,15.834061691203033,observed,observed,,
2019-12,88.37933217143635,6.385700777173042,-1.6003797063603997,6.5385825000703335,0.24300000071525574,12.826686051925613,nan,nan,nan,65.205,nan,12.826686051925613,12.826686051925613,observed,observed,,
2020-01,83.77562130421276,9.093495085835457,-1.4309629332274199,9.417927823960781,0.17299999296665192,10.471462600523118,nan,nan,nan,62.366666666666674,nan,10.471462600523118,10.471462600523118,observed,observed,,
2020-02,82.25589325923211,9.100638329982758,-1.6534848837181926,9.200774133205414,0.05400000140070915,7.439408385903429,nan,nan,nan,67.21000000000001,nan,7.439408385903429,7.439408385903429,observed,observed,,
2020-03,79.37425912386276,11.875432915985584,-1.5451059443876147,12.079957872629166,0.01899999938905239,11.021532328673283,nan,nan,nan,64.76,nan,11.021532328673283,11.021532328673283,observed,observed,,
2020-04,80.40369455182318,14.723862521350384,-2.0503283012658358,14.427081681787968,-0.010999999940395355,6.0360331685977915,nan,nan,nan,66.28000000000002,nan,6.0360331685977915,6.0360331685977915,observed,observed,,
2020-05,80.21870613089057,11.227019131183624,-1.6860048053786159,11.296844109892845,0.2980000078678131,9.02431076890302,nan,nan,nan,67.68666666666667,nan,9.02431076890302,9.02431076890302,observed,observed,,
2020-06,81.15148750703443,7.638249080628157,-0.9063537581823766,8.48873145878315,0.45500001311302185,21.054892853339837,nan,nan,nan,67.71666666666667,nan,21.054892853339837,21.054892853339837,observed,observed,,
